tag,debate_id,seq_index,rule_says,lstm_says,lstm_confidence,text
chair_ruling,Debate_No_27_of_2020_–_Tuesday_28_July_2020,733,0,1,0.932,"Thank you. Please, be seated! Hon. Hurdoyal, please!"
chair_ruling,Debate_No_19_of_2020_–_Friday_12_June_2020​,409,0,1,0.724,"One second! So, your point of order is that hon. Hurreeram said ‘assassin’ to you?"
chair_ruling,Debate_No_25_of_2020_–_Tuesday_14_July_2020,434,0,1,0.888,An hon. Member: On a point of order!
chair_ruling,Debate_No_06_of_2015_(REVISED)_–_Tuesday_03_March_2015,201,0,1,0.948,"Order, please! One last question on this issue! Hon. Mahomed!"
chair_ruling,Debate_No_05_of_2017_–_Tuesday_25_April_2017,653,0,1,0.972,Order!
chair_ruling,Debate_No_29_of_2020_–_Tuesday_11_August_2020,814,0,1,0.93,Order! Order! Order! Order!
chair_ruling,Debate_No_09_of_2017_–_Monday_12_June_2017,204,0,1,0.972,Order!
chair_ruling,Debate_No_18_of_2019_–_Tuesday_25_June_2019,1740,0,1,0.969,"Order, please!"
chair_ruling,Debate_No_28_of_2017_–_Tuesday_05_December_2017,219,0,1,0.969,"Order, please!"
chair_ruling,Debate_No_01_of_2017_–_Tuesday_28_March_2017,124,0,1,0.943,"Hon. Leader of the Opposition, once you have asked your question, from a sitting position, you should not continue to ask questions! Allow the hon. Minister to reply! Please, proceed hon. Minister!"
chair_ruling,Debate_No_19_of_2024_–_Tuesday_09_July_2024,181,0,1,0.725,On a point of order…
chair_ruling,Debate_No_03_of_2022_–_Tuesday_12_April_2022,3,0,1,0.746,"Hon. Members, I associate myself with the tribute paid to the memory of late Mr Vijayanathan Venkatasamy, former Member of Parliament, by the hon. Prime Minister and the hon. Leader of the Opposition and I direct the Clerk to convey the deep condolences of the Assembly to the bereaved family. MR MOH"
chair_ruling,Debate_No_29_of_2025_(UNREVISED)_–_Tuesday_22_July_2025,350,0,1,0.669,"I was saying the manner this Bill, you like it or not, has been brought to the House under Standing Order 65. I am talking about the manner in which this Bill is being brought. And this was once said…"
